symbol,USD_price,BTC_price,market_cap,volume_24h,mcap_share,vol_share
XMR,374.77862200263553,0.005062429746548312,6913445324.380149,97927012.70290829,0.5368254438951354,0.09875596814817691
ZEC,266.5895527263063,0.0036010348579358724,4420893952.275573,731792962.0002598,0.34328012257136586,0.7379876139549737
BDX,0.08075558307932673,1.0908292041741973e-06,614248794.0513165,14870313.62611615,0.04769610028820385,0.014996191329448306
DASH,34.866606825946704,0.00047097069361559196,440302374.7566318,113058119.44149017,0.034189251044377554,0.11401516021253036
BEAM,0.0020689575343913486,2.7947037401654038e-08,102343062.01961745,8408861.54175196,0.007946885687303009,0.008480042836587253
ZANO,6.532009003734091,8.823298540489411e-05,98001697.21773268,1371753.97426981,0.007609780962013022,0.0013833659176463494
ROSE,0.012817654908608736,1.731381505796655e-07,96774199.7171503,11807274.56080381,0.0075144664177138835,0.01190722353576799
XVG,0.005490058459749846,7.415853953572459e-08,90706478.15335621,6246079.70094383,0.007043310985207748,0.006298952974995265
ARRR,0.26165014961919,3.5343144535380917e-06,51339369.59634392,142179.83486113,0.003986475422849281,0.00014338339192942424
SCRT,0.08486787330554867,1.1463771440658151e-06,28420001.082026403,2771807.91660422,0.00220679834446032,0.002795271363535646
FIRO,0.6935038686308225,9.367702445627541e-06,12745405.384098126,301429.54490489,0.0009896741178835279,0.0003039811561071209
PIVX,0.09024246414841759,1.2189759716432176e-06,9165421.982996345,2908226.93976601,0.0007116902634865904,0.002932845178301579
